"","year","state","county","commodity","damagecause","monthcode","month","loss"
"5648",1989,"ID","Bannock","WHEAT","Drought",0,"",4460
"5649",1989,"ID","Bannock","WHEAT","Freeze",0,"",6690
"5650",1989,"ID","Bannock","WHEAT","Drought",0,"",45173
"5651",1989,"ID","Bannock","WHEAT","Failure Irrig Supply",0,"",1732
"5652",1989,"ID","Bannock","WHEAT","Hail",0,"",29
"5653",1989,"ID","Bannock","WHEAT","Frost",0,"",25721
"5654",1989,"ID","Bannock","WHEAT","Freeze",0,"",14700
"5655",1989,"ID","Bannock","WHEAT","Drought",5,"MAY",2672
"5656",1989,"ID","Bannock","WHEAT","Drought",6,"JUN",17331
"5657",1989,"ID","Bannock","WHEAT","Drought",8,"AUG",2376
"5658",1989,"ID","Bannock","WHEAT","Drought",9,"SEP",43105
"5659",1989,"ID","Bannock","WHEAT","Drought",10,"OCT",30036
"5660",1989,"ID","Bannock","WHEAT","Heat",9,"SEP",1286
"5661",1989,"ID","Bannock","WHEAT","Heat",10,"OCT",83
"5662",1989,"ID","Bannock","WHEAT","Hail",7,"JUL",542
"5663",1989,"ID","Bannock","WHEAT","Hail",8,"AUG",3588
"5664",1989,"ID","Bannock","WHEAT","Hail",9,"SEP",57957
"5665",1989,"ID","Bannock","WHEAT","Hail",10,"OCT",2765
"5666",1989,"ID","Bannock","WHEAT","Frost",6,"JUN",68626
"5667",1989,"ID","Bannock","WHEAT","Frost",7,"JUL",904
"5668",1989,"ID","Bannock","WHEAT","Frost",8,"AUG",17606
"5669",1989,"ID","Bannock","WHEAT","Frost",9,"SEP",58615
"5670",1989,"ID","Bannock","WHEAT","Frost",10,"OCT",181267
"5671",1989,"ID","Bannock","WHEAT","Frost",12,"DEC",1563
"5672",1989,"ID","Bannock","WHEAT","Cold Winter",10,"OCT",8782
"5673",1989,"ID","Bannock","WHEAT","Hot Wind",10,"OCT",1121
"5674",1989,"ID","Bannock","WHEAT","Drought",8,"AUG",7014
"5675",1989,"ID","Bannock","WHEAT","Drought",9,"SEP",241
"5676",1989,"ID","Bannock","WHEAT","Hail",9,"SEP",35330
"5677",1989,"ID","Bannock","WHEAT","Frost",7,"JUL",15789
"5678",1989,"ID","Bannock","WHEAT","Frost",10,"OCT",1845
"5679",1989,"ID","Bannock","OATS","Freeze",0,"",133
"5680",1989,"ID","Bannock","BARLEY","Drought",0,"",4428
"5681",1989,"ID","Bannock","BARLEY","Hail",0,"",311
"5682",1989,"ID","Bannock","BARLEY","Frost",0,"",4159
"5683",1989,"ID","Bannock","BARLEY","Freeze",0,"",2924
"5684",1989,"ID","Bannock","BARLEY","Drought",0,"",2688
"5685",1989,"ID","Bannock","BARLEY","Hail",0,"",403
"5686",1989,"ID","Bannock","BARLEY","Frost",0,"",15757
"5687",1989,"ID","Bannock","BARLEY","Freeze",0,"",5629
"5688",1989,"ID","Bannock","BARLEY","Drought",8,"AUG",480
"5689",1989,"ID","Bannock","BARLEY","Drought",9,"SEP",589
"5690",1989,"ID","Bannock","BARLEY","Drought",10,"OCT",2835
"5691",1989,"ID","Bannock","BARLEY","Drought",12,"DEC",1
"5692",1989,"ID","Bannock","BARLEY","Heat",10,"OCT",823
"5693",1989,"ID","Bannock","BARLEY","Hail",7,"JUL",2304
"5694",1989,"ID","Bannock","BARLEY","Hail",10,"OCT",1919
"5695",1989,"ID","Bannock","BARLEY","Excess Moisture/Precip/Rain",10,"OCT",2355
"5696",1989,"ID","Bannock","BARLEY","Frost",6,"JUN",7616
"5697",1989,"ID","Bannock","BARLEY","Frost",7,"JUL",1923
"5698",1989,"ID","Bannock","BARLEY","Frost",8,"AUG",2419
"5699",1989,"ID","Bannock","BARLEY","Frost",9,"SEP",3712
"5700",1989,"ID","Bannock","BARLEY","Frost",10,"OCT",38325
"5701",1989,"ID","Bannock","BARLEY","Frost",12,"DEC",24
"5702",1989,"ID","Bannock","BARLEY","Hot Wind",6,"JUN",566
"5703",1989,"ID","Bannock","BARLEY","Hot Wind",10,"OCT",3977
"5704",1989,"ID","Bannock","BARLEY","Drought",8,"AUG",870
"5705",1989,"ID","Bannock","BARLEY","Heat",10,"OCT",471
"5706",1989,"ID","Bannock","BARLEY","Hail",9,"SEP",3425
"5707",1989,"ID","Bannock","BARLEY","Frost",10,"OCT",4396
"5708",1989,"ID","Benewah","All Other Crops","Excess Moisture/Precip/Rain",8,"AUG",2286
"5709",1989,"ID","Benewah","All Other Crops","Cold Winter",9,"SEP",5612
"5710",1989,"ID","Bingham","All Other Crops","Hail",6,"JUN",2975
"5711",1989,"ID","Bingham","All Other Crops","Frost",9,"SEP",5839
"5712",1989,"ID","Bingham","All Other Crops","Frost",11,"NOV",53498
"5713",1989,"ID","Bingham","All Other Crops","Wind/Excess Wind",10,"OCT",8184
"5714",1989,"ID","Bingham","All Other Crops","Plant Disease",10,"OCT",9656
"5715",1989,"ID","Bingham","All Other Crops","Drought",10,"OCT",16433
"5716",1989,"ID","Bingham","All Other Crops","Hail",10,"OCT",1280
"5717",1989,"ID","Bingham","All Other Crops","Frost",6,"JUN",1106
"5718",1989,"ID","Bingham","All Other Crops","Frost",9,"SEP",8299
"5719",1989,"ID","Bingham","All Other Crops","Frost",10,"OCT",4758
"5720",1989,"ID","Bingham","All Other Crops","Frost",11,"NOV",18461
"5721",1989,"ID","Bingham","All Other Crops","Drought",10,"OCT",3528
"5722",1989,"ID","Bingham","All Other Crops","Frost",10,"OCT",52552
"5723",1989,"ID","Blaine","All Other Crops","Drought",6,"JUN",316
"5724",1989,"ID","Bonneville","All Other Crops","Frost",10,"OCT",121167
"5725",1989,"ID","Bonneville","All Other Crops","Wind/Excess Wind",7,"JUL",390
"5726",1989,"ID","Bonneville","All Other Crops","Drought",0,"",1634
"5727",1989,"ID","Bonneville","All Other Crops","Freeze",0,"",6534
"5728",1989,"ID","Bonneville","All Other Crops","Drought",0,"",8405
"5729",1989,"ID","Bonneville","All Other Crops","Frost",0,"",777
"5730",1989,"ID","Bonneville","All Other Crops","Freeze",0,"",5645
"5731",1989,"ID","Bonneville","All Other Crops","",9,"SEP",834
"5732",1989,"ID","Bonneville","All Other Crops","Drought",6,"JUN",43792
"5733",1989,"ID","Bonneville","All Other Crops","Drought",10,"OCT",59722
"5734",1989,"ID","Bonneville","All Other Crops","Hail",6,"JUN",364
"5735",1989,"ID","Bonneville","All Other Crops","Hail",10,"OCT",2821
"5736",1989,"ID","Bonneville","All Other Crops","Frost",6,"JUN",8845
"5737",1989,"ID","Bonneville","All Other Crops","Frost",10,"OCT",9161
"5738",1989,"ID","Butte","All Other Crops","Heat",10,"OCT",46559
"5739",1989,"ID","Butte","All Other Crops","Freeze",10,"OCT",32911
"5740",1989,"ID","Butte","All Other Crops","Other (Snow-Lightning-Etc.)",10,"OCT",9404
"5741",1989,"ID","Butte","All Other Crops","Failure Irrig Supply",0,"",2428
"5742",1989,"ID","Butte","All Other Crops","Frost",0,"",1858
"5743",1989,"ID","Butte","All Other Crops","Excess Moisture/Precip/Rain",10,"OCT",5500
"5744",1989,"ID","Butte","All Other Crops","Drought",10,"OCT",1472
"5745",1989,"ID","Butte","All Other Crops","Failure Irrig Supply",6,"JUN",8648
"5746",1989,"ID","Butte","All Other Crops","Hail",10,"OCT",5261
"5747",1989,"ID","Camas","All Other Crops","Drought",0,"",87
"5748",1989,"ID","Camas","All Other Crops","Frost",0,"",261
"5749",1989,"ID","Camas","All Other Crops","Drought",6,"JUN",1785
"5750",1989,"ID","Camas","All Other Crops","Drought",7,"JUL",2900
"5751",1989,"ID","Camas","All Other Crops","Drought",8,"AUG",3500
"5752",1989,"ID","Camas","All Other Crops","Drought",9,"SEP",450
"5753",1989,"ID","Camas","All Other Crops","Drought",10,"OCT",1537
"5754",1989,"ID","Camas","All Other Crops","Heat",1,"JAN",7011
"5755",1989,"ID","Camas","All Other Crops","Heat",7,"JUL",5673
"5756",1989,"ID","Camas","All Other Crops","Heat",8,"AUG",573
"5757",1989,"ID","Camas","All Other Crops","Heat",10,"OCT",3494
