"","year","state","county","commodity","damagecause","monthcode","month","acres","loss"
"11338",2001,"ID","Ada","All Other Crops","Drought",9,"SEP",17,153
"11339",2001,"ID","Ada","All Other Crops","Heat",8,"AUG",105.2,5249
"11340",2001,"ID","Ada","All Other Crops","Freeze",4,"APR",125,4500
"11341",2001,"ID","Ada","All Other Crops","Wind/Excess Wind",5,"MAY",50,1800
"11342",2001,"ID","Ada","All Other Crops","Wind/Excess Wind",4,"APR",92.5,3330
"11343",2001,"ID","Bannock","WHEAT","Drought",8,"AUG",133,1212
"11344",2001,"ID","Bannock","WHEAT","Drought",9,"SEP",777.52,24807
"11345",2001,"ID","Bannock","WHEAT","Drought",7,"JUL",3529.754,54726.46
"11346",2001,"ID","Bannock","WHEAT","Heat",7,"JUL",19.796,2371.6
"11347",2001,"ID","Bannock","WHEAT","Heat",8,"AUG",25,904
"11348",2001,"ID","Bannock","WHEAT","Frost",6,"JUN",51.646,904.54
"11349",2001,"ID","Bannock","WHEAT","Frost",8,"AUG",20.604,2468.4
"11350",2001,"ID","Bannock","WHEAT","Frost",7,"JUL",48,2345
"11351",2001,"ID","Bannock","WHEAT","Cold Winter",5,"MAY",34,286
"11352",2001,"ID","Bannock","BARLEY","Drought",5,"MAY",124.6644,3770.43
"11353",2001,"ID","Bannock","BARLEY","Drought",10,"OCT",29.07,654
"11354",2001,"ID","Bannock","BARLEY","Drought",6,"JUN",253.8478,8030.42
"11355",2001,"ID","Bannock","BARLEY","Drought",7,"JUL",433.6,1001
"11356",2001,"ID","Bannock","BARLEY","Drought",6,"JUN",401.7264,9065.6
"11357",2001,"ID","Bannock","BARLEY","Drought",9,"SEP",95.64,2439
"11358",2001,"ID","Bannock","BARLEY","Heat",5,"MAY",24.4698,895.56
"11359",2001,"ID","Bannock","BARLEY","Heat",10,"OCT",16.575,348.84
"11360",2001,"ID","Bannock","BARLEY","Heat",6,"JUN",49.0161,1793.67
"11361",2001,"ID","Bannock","BARLEY","Frost",1,"JAN",245.1322,7753.58
"11362",2001,"ID","Bannock","BARLEY","Frost",6,"JUN",15.925,335.16
