"","year","state","county","commodity","damagecause","loss","count","acres","lossperacre","lossperclaim","acresperclaim"
"11",2014,"ID","Ada","All Other Crops","Area Plan Crops Only",1398,1,0,0,1398,0
"12",2015,"ID","Ada","All Other Crops","Area Plan Crops Only",11810,1,0,0,11810,0
"100",2009,"OR","All Other Counties","All Other Crops","Area Plan Crops Only",18730,2,20500,0.913658536585366,9365,10250
"101",2015,"OR","All Other Counties","All Other Crops","Area Plan Crops Only",225223,3,0,0,75074.3333333333,0
"211",2008,"OR","Baker","All Other Crops","Area Plan Crops Only",15292,2,5482,2.7894928858081,7646,2741
"212",2010,"OR","Baker","All Other Crops","Area Plan Crops Only",1819,2,2282,0.797107800175285,909.5,1141
"215",2009,"ID","Bannock","All Other Crops","Area Plan Crops Only",2284,1,600,3.80666666666667,2284,600
"245",2008,"ID","Bear Lake","All Other Crops","Area Plan Crops Only",8102,1,2468,3.28282009724473,8102,2468
"246",2012,"ID","Bear Lake","All Other Crops","Area Plan Crops Only",7459,1,2468,3.02228525121556,7459,2468
"291",2010,"ID","Bingham","All Other Crops","Area Plan Crops Only",4197,1,192,21.859375,4197,192
"292",2011,"ID","Bingham","All Other Crops","Area Plan Crops Only",7769,1,240,32.3708333333333,7769,240
"293",2012,"ID","Bingham","All Other Crops","Area Plan Crops Only",6786,1,168,40.3928571428571,6786,168
"294",2013,"ID","Bingham","All Other Crops","Area Plan Crops Only",10286,1,264,38.9621212121212,10286,264
"299",2015,"ID","Blaine","All Other Crops","Area Plan Crops Only",140883,1,0,0,140883,0
"424",2014,"ID","Camas","All Other Crops","Area Plan Crops Only",172931,1,0,0,172931,0
"433",2015,"ID","Canyon","All Other Crops","Area Plan Crops Only",4242,1,0,0,4242,0
"481",2009,"ID","Cassia","All Other Crops","Area Plan Crops Only",682,1,360,1.89444444444444,682,360
"482",2013,"ID","Cassia","All Other Crops","Area Plan Crops Only",35053,3,11000,3.18663636363636,11684.3333333333,3666.66666666667
"483",2014,"ID","Cassia","All Other Crops","Area Plan Crops Only",28361,3,0,0,9453.66666666667,0
"484",2015,"ID","Cassia","All Other Crops","Area Plan Crops Only",30021,2,0,0,15010.5,0
"694",2015,"OR","Crook","All Other Crops","Area Plan Crops Only",98754,1,0,0,98754,0
"903",2013,"ID","Elmore","All Other Crops","Area Plan Crops Only",206201,2,700,294.572857142857,103100.5,350
"904",2014,"ID","Elmore","All Other Crops","Area Plan Crops Only",193214,1,0,0,193214,0
"905",2015,"ID","Elmore","All Other Crops","Area Plan Crops Only",55631,2,0,0,27815.5,0
"1004",2014,"ID","Gem","All Other Crops","Area Plan Crops Only",19185,2,0,0,9592.5,0
"1005",2015,"ID","Gem","All Other Crops","Area Plan Crops Only",41462,3,0,0,13820.6666666667,0
"1010",2013,"OR","Gilliam","All Other Crops","Area Plan Crops Only",25359,1,2700,9.39222222222222,25359,2700
"1011",2014,"OR","Gilliam","All Other Crops","Area Plan Crops Only",36835,2,0,0,18417.5,0
"1012",2015,"OR","Gilliam","All Other Crops","Area Plan Crops Only",30061,1,0,0,30061,0
"1051",2015,"OR","Grant","All Other Crops","Area Plan Crops Only",157425,1,0,0,157425,0
"1281",2009,"OR","Jackson","All Other Crops","Area Plan Crops Only",462,2,88,5.25,231,44
"1296",2010,"ID","Jefferson","All Other Crops","Area Plan Crops Only",15008,1,888,16.9009009009009,15008,888
"1297",2011,"ID","Jefferson","All Other Crops","Area Plan Crops Only",37531,1,891,42.1223344556678,37531,891
"1298",2012,"ID","Jefferson","All Other Crops","Area Plan Crops Only",17675,2,767.4,23.0323169142559,8837.5,383.7
"1299",2013,"ID","Jefferson","All Other Crops","Area Plan Crops Only",13199,2,723,18.2558782849239,6599.5,361.5
"1386",2014,"OR","Klamath","All Other Crops","Area Plan Crops Only",60783,3,0,0,20261,0
"1588",2007,"ID","Madison","All Other Crops","Area Plan Crops Only",15651,2,230,68.0478260869565,7825.5,115
"1589",2008,"ID","Madison","All Other Crops","Area Plan Crops Only",51103,3,382,133.777486910995,17034.3333333333,127.333333333333
"1590",2009,"ID","Madison","All Other Crops","Area Plan Crops Only",265,1,72,3.68055555555556,265,72
"1591",2010,"ID","Madison","All Other Crops","Area Plan Crops Only",975,1,48,20.3125,975,48
"1592",2011,"ID","Madison","All Other Crops","Area Plan Crops Only",2716,1,48,56.5833333333333,2716,48
"1593",2012,"ID","Madison","All Other Crops","Area Plan Crops Only",814,1,48,16.9583333333333,814,48
"1594",2013,"ID","Madison","All Other Crops","Area Plan Crops Only",360,1,48,7.5,360,48
"1614",2013,"OR","Malheur","All Other Crops","Area Plan Crops Only",345020,1,26000,13.27,345020,26000
"1615",2014,"OR","Malheur","All Other Crops","Area Plan Crops Only",159947,2,0,0,79973.5,0
"1711",2015,"ID","Minidoka","All Other Crops","Area Plan Crops Only",31934,1,0,0,31934,0
"1880",2008,"ID","Oneida","All Other Crops","Area Plan Crops Only",17084,2,80,213.55,8542,40
"1881",2009,"ID","Oneida","All Other Crops","Area Plan Crops Only",8527,2,66.3,128.612368024133,4263.5,33.15
"1919",2014,"ID","Owyhee","All Other Crops","Area Plan Crops Only",249109,1,0,0,249109,0
"1920",2015,"ID","Owyhee","All Other Crops","Area Plan Crops Only",268128,1,0,0,268128,0
"2064",2015,"ID","Power","All Other Crops","Area Plan Crops Only",85304,1,0,0,85304,0
"2312",2013,"OR","Sherman","All Other Crops","Area Plan Crops Only",11051,2,1375.77,8.03259265720288,5525.5,687.885
"2313",2014,"OR","Sherman","All Other Crops","Area Plan Crops Only",1728,3,0,0,576,0
"2314",2015,"OR","Sherman","All Other Crops","Area Plan Crops Only",18457,3,0,0,6152.33333333333,0
"2525",2015,"ID","Twin Falls","All Other Crops","Area Plan Crops Only",18233,1,0,0,18233,0
"2530",2007,"OR","Union","All Other Crops","Area Plan Crops Only",5326,2,714.2,7.45729487538505,2663,357.1
"2531",2008,"OR","Union","All Other Crops","Area Plan Crops Only",37926,2,10274.8,3.6911667380387,18963,5137.4
"2532",2010,"OR","Union","All Other Crops","Area Plan Crops Only",958,2,2460,0.389430894308943,479,1230
"2533",2011,"OR","Union","All Other Crops","Area Plan Crops Only",12751,2,4116,3.09791059280855,6375.5,2058
"2534",2013,"OR","Union","All Other Crops","Area Plan Crops Only",50526,4,8249.6,6.12466058960434,12631.5,2062.4
"2535",2014,"OR","Union","All Other Crops","Area Plan Crops Only",27153,3,0,0,9051,0
"2536",2015,"OR","Union","All Other Crops","Area Plan Crops Only",84471,3,0,0,28157,0
"2574",2007,"OR","Wallowa","All Other Crops","Area Plan Crops Only",2844,1,520,5.46923076923077,2844,520
"2575",2009,"OR","Wallowa","All Other Crops","Area Plan Crops Only",1915,1,770,2.48701298701299,1915,770
"2576",2015,"OR","Wallowa","All Other Crops","Area Plan Crops Only",376465,1,0,0,376465,0
"2609",2013,"OR","Wasco","All Other Crops","Area Plan Crops Only",130,1,623.3,0.208567303064335,130,623.3
"2610",2014,"OR","Wasco","All Other Crops","Area Plan Crops Only",11377,1,0,0,11377,0
"2611",2015,"OR","Wasco","All Other Crops","Area Plan Crops Only",16851,1,0,0,16851,0
"9233",2015,"ID","Bingham","WHEAT","Area Plan Crops Only",90441,1,0,0,90441,0
"9590",2015,"OR","Klamath","WHEAT","Area Plan Crops Only",13475,1,0,0,13475,0
"9609",2015,"ID","Lewis","WHEAT","Area Plan Crops Only",179,1,0,0,179,0
"9656",2015,"OR","Marion","WHEAT","Area Plan Crops Only",1790,1,0,0,1790,0
"9857",2015,"OR","Sherman","WHEAT","Area Plan Crops Only",28,1,0,0,28,0
"9925",2015,"OR","Umatilla","WHEAT","Area Plan Crops Only",139839,1,0,0,139839,0
"9948",2015,"WA","Walla Walla","WHEAT","Area Plan Crops Only",40233,1,0,0,40233,0
"9951",2015,"OR","Wasco","WHEAT","Area Plan Crops Only",3271,1,0,0,3271,0
"10161",2007,"OR","Baker","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",161337,4,21327.7,7.56466942051886,40334.25,5331.925
"10177",2007,"ID","Bannock","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",36854,4,1537.63,23.9680547335835,9213.5,384.4075
"10178",2008,"ID","Bannock","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",37686,2,1194,31.5628140703518,18843,597
"10216",2007,"ID","Bear Lake","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",301,1,12,25.0833333333333,301,12
"10342",2007,"ID","Bonneville","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",32065,2,736.4,43.5429114611624,16032.5,368.2
"10616",2007,"ID","Caribou","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",15410,1,1946.69,7.91600100683725,15410,1946.69
