"","Group.1","x"
"1",1989,165.135714285714
"2",1990,135.5225
"3",1991,128.665
"4",1992,151.2
"5",1993,140.238333333333
"6",1994,149.729166666667
"7",1995,176.9825
"8",1996,207.6
"9",1997,159.484166666667
"10",1998,126.126666666667
"11",1999,112.0425
"12",2000,114.0875
"13",2001,126.808333333333
"14",2002,148.0775
"15",2003,146.144166666667
"16",2004,156.88
"17",2005,152.351666666667
"18",2006,192.043333333333
"19",2007,255.206666666667
"20",2008,326.03
"21",2009,224.068333333333
"22",2010,223.5825
"23",2011,316.265
"24",2012,313.241666666667
"25",2013,312.249166666667
"26",2014,284.885
"27",2015,204.45
