Month,Price
Feb-98,140.05
Mar-98,138.92
Apr-98,130.15
May-98,128.92
Jun-98,120.64
Jul-98,118.9
Aug-98,107.95
Sep-98,107.93
Oct-98,126.54
Nov-98,130.21
Dec-98,126.21
Jan-99,125.29
Feb-99,117.03
Mar-99,117.34
Apr-99,113.87
May-99,113
Jun-99,111.41
Jul-99,103.02
Aug-99,111.3
Sep-99,113.19
Oct-99,108.1
Nov-99,108.8
Dec-99,102.16
Jan-00,105.83
Feb-00,107.93
Mar-00,105.7
Apr-00,105.11
May-00,112.14
Jun-00,113.51
Jul-00,108.98
Aug-00,108.36
Sep-00,117.49
Oct-00,128.18
Nov-00,127.73
Dec-00,128.09
Jan-01,132.84
Feb-01,128.11
Mar-01,130.2
Apr-01,129.67
May-01,134.86
Jun-01,127.23
Jul-01,123.79
Aug-01,121.92
Sep-01,122.03
Oct-01,123.34
Nov-01,125.27
Dec-01,122.44
Jan-02,125.31
Feb-02,123.28
Mar-02,122.54
Apr-02,123.72
May-02,121.46
Jun-02,132.03
Jul-02,149.31
Aug-02,161.26
Sep-02,187.84
Oct-02,190.32
Nov-02,177.38
Dec-02,162.48
Jan-03,149.61
Feb-03,150.84
Mar-03,141.81
Apr-03,138.62
May-03,141.96
Jun-03,131.35
Jul-03,131.62
Aug-03,148.72
Sep-03,145.62
Oct-03,147.46
Nov-03,160.55
Dec-03,165.57
Jan-04,166.33
Feb-04,161.39
Mar-04,166.28
Apr-04,166.58
May-04,163.73
Jun-04,154.74
Jul-04,150.6
Aug-04,141.29
Sep-04,151.03
Oct-04,150.15
Nov-04,156.57
Dec-04,153.87
Jan-05,153.59
Feb-05,151.17
Mar-05,150.99
Apr-05,140.88
May-05,143.33
Jun-05,141.93
Jul-05,143.87
Aug-05,149.36
Sep-05,159.71
Oct-05,167.83
Nov-05,161.12
Dec-05,164.44
Jan-06,167.16
Feb-06,179.84
Mar-06,174.44
Apr-06,180.35
May-06,193.17
Jun-06,195.16
Jul-06,202.43
Aug-06,189.91
Sep-06,195.98
Oct-06,212.09
Nov-06,209.68
Dec-06,204.31
Jan-07,196.07
Feb-07,199.98
Mar-07,199.1
Apr-07,198.31
May-07,195.72
Jun-07,223.04
Jul-07,238.41
Aug-07,259.73
Sep-07,326.54
Oct-07,335.15
Nov-07,321.81
Dec-07,368.62
Jan-08,370.66
Feb-08,425
Mar-08,439.72
Apr-08,362.23
May-08,328.76
Jun-08,348.55
Jul-08,328.18
Aug-08,329.34
Sep-08,295.55
Oct-08,237.38
Nov-08,226.85
Dec-08,220.14
Jan-09,239.11
Feb-09,224.69
Mar-09,230.98
Apr-09,233.47
May-09,261.48
Jun-09,256.64
Jul-09,224.85
Aug-09,210.37
Sep-09,191.09
Oct-09,198.85
Nov-09,211.04
Dec-09,206.25
Jan-10,201.19
Feb-10,194
Mar-10,191.08
Apr-10,192.87
May-10,181.61
Jun-10,157.67
Jul-10,195.82
Aug-10,246.25
Sep-10,271.67
Oct-10,270.23
Nov-10,274.08
Dec-10,306.52
Jan-11,326.56
Feb-11,348.12
Mar-11,316.75
Apr-11,336.12
May-11,355.28
Jun-11,326.43
Jul-11,303.88
Aug-11,327.07
Sep-11,315.92
Oct-11,289.01
Nov-11,281.01
Dec-11,269.03
Jan-12,274.89
Feb-12,277.77
Mar-12,283.88
Apr-12,266.32
May-12,264.36
Jun-12,276.19
Jul-12,345.69
Aug-12,349.4
Sep-12,353.42
Oct-12,358.2
Nov-12,360.82
Dec-12,347.96
Jan-13,335.47
Feb-13,318.94
Mar-13,309.75
Apr-13,308.28
May-13,319.67
Jun-13,313.42
Jul-13,304.61
Aug-13,305.34
Sep-13,307.51
Oct-13,325.69
Nov-13,306.75
Dec-13,291.56
Jan-14,275.58
Feb-14,292.11
Mar-14,323.71
Apr-14,324.81
May-14,334.73
Jun-14,306.44
Jul-14,280.35
Aug-14,263.45
Sep-14,243.61
Oct-14,245.45
Nov-14,258.68
Dec-14,269.7
Jan-15,248.39
Feb-15,237
Mar-15,230.75
Apr-15,223.4
May-15,215.32
Jun-15,209.81
Jul-15,197.31
Aug-15,179.68
Sep-15,172.7
Oct-15,172.71
Nov-15,177.1
Dec-15,189.23
Jan-16,193.27
Feb-16,187.03
Mar-16,191.07
Apr-16,187.39
May-16,171.96
Jun-16,173.06
Jul-16,151.75
Aug-16,149.18
Sep-16,150.65
Oct-16,151.75
Nov-16,150.65
Dec-16,141.83
Jan-17,153.22
Feb-17,155.06
Mar-17,154.32
Apr-17,166.08
May-17,180.41
Jun-17,189.6
Jul-17,202.46
Aug-17,171.23
Sep-17,178.57
Oct-17,175.63
Nov-17,179.68
Dec-17,184.09
